ID,Speaker,Dialogue,Background,LeftCharacter,RightCharacter,NextID
OPENING_001,Right,하아... 오늘도 의뢰 하나 없이 하루가 다 가는군.,bg_office_day,,mrA_bored,
OPENING_002,Left,탐정님... 저 배고파요.,,chamiel_relaxed,mrA_bored,
OPENING_003,Right,"카미엘, 밥 생각할 시간에 사건이나 하나 물어와. 간판이 다 녹슬겠다.",,chamiel_relaxed,mrA_bored,
OPENING_004,Left,간판 녹슬 걱정을 할 거면 청소나 좀 하렴. 손님 오기도 전에 먼지부터 마시겠다.,,angele_nagging,mrA_bored,
OPENING_005,Right,"먼지도 다 인테리어야, 앵무씨. 오래된 탐정사무소 특유의 분위기랄까.",,angele_nagging,mrA,
OPENING_006,Left,품격은 무슨. 밀린 월세나 걱정하렴.,,angele_nagging,mrA,
OPENING_007,,"그때, 창밖에서 낯익은 개 짖는 소리가 들려온다.",,,,
OPENING_008,Right,저건 옆집 소시지네. 산책 늦는다고 화가 잔뜩 났군.,,angele,mrA,
OPENING_009,Left,귀 하나는 밝아서 다행이야. 그 능력 반만 사건에 썼어도 우리가 이 꼴은 아닐 텐데.,,angele_nagging,mrA,
OPENING_010,Left,"저 소리, 어제 그 골목 소리랑 비슷해요.",,chamiel_smart,mrA,
OPENING_011,,카미엘의 등 위로 어제 본 골목 풍경이 옅게 떠올랐다 사라진다.,,,chamiel_smart,
OPENING_012,Right,재주 참 신기하다니까. 나중에 사진관 해라.,,chamiel_smart,mrA_surprised,
OPENING_013,Left,"다들 능력은 좋은데, 정작 사건에는 안 쓰는 게 문제지.",,angele_nagging,mrA,
OPENING_014,,"그때, 사무소 문이 벌컥 열린다.",,,,
OPENING_015,Right,"타, 탐정님! 계세요? 큰일 났어요!",,angele,ppuang_hurry,
OPENING_016,Left,진정하시고 앉으세요. 무슨 일이신가요?,,angele,ppuang_hurry,
OPENING_017,Right,"제 레시피 노트가 사라졌는데, 하필 요즘 쇼콜라 페스츄리에서\n 저희 황금바게트랑 판박이인 신메뉴가 나왔지 뭐예요. 쇼콜라가 훔쳐간 게 틀림없어요!",,angele,ppuang_angry,
OPENING_018,Left,일단 주변부터 정리해보죠. 가게에 사장님 말고 또 누가 있습니까?\n 요즘 좀 수상하다 싶은 사람은요?,,mrA_excited,ppuang_angry,
OPENING_019,Right,"직원은 머핀이랑 브리오슈, 둘뿐이에요. 브리오슈는 제 조카고요.",,mrA,ppuang,
OPENING_020,Left,조카라... 그 친구가 노트를 훔쳤을 가능성은요?,,mrA,ppuang,
OPENING_021,Right,그건 아닐 거예요. 브리오슈가 근무하는 시간엔 저도 항상 가게에 있거든요. \n노트를 통째로 들고 나갔다면 제가 몰랐을 리 없어요. ...근데 요즘 머핀 근무 태도가 영 별로긴 해요.,,mrA,ppuang,
OPENING_022,Left,"흐음, 근무 태도라... 그것도 그것대로 수상하고.",,mrA,ppuang,
OPENING_023,Right,"아, 그리고 라이벌 가게 쇼콜라 페스츄리 사장 쇼콜라, 예전에 저희 가게에서 일한 적이 있어요.",,mrA,ppuang_angry,
OPENING_024,Left,옛 직원이라... 점점 흥미로워지는군요. 노트는 평소에 어디 두세요?,,mrA_excited,ppuang,
OPENING_025,Right,"전 쓴 물건은 항상 제자리에 둬요. 노트도 늘 책장 왼쪽에서 두 번째, 위에서 세 번째 칸에 꽂아두거든요.",,mrA_excited,ppuang,
OPENING_026,Left,"정리벽이라, 좋아 좋아. 이제야 좀 탐정다운 냄새가 나는군.",,mrA_excited,ppuang,
OPENING_027,,잠자코 듣고 있던 앵젤이 수첩을 펼친다.,,angele,ppuang,
OPENING_028_T,Left,"우선 지금까지 하신 말씀, 여기 수첩에 정리해 둘게요.",,angele,ppuang,
OPENING_029,Left,"카미엘, 이제부터 이야기 중에 중요한 단서나 용의자가 나오면 자동으로 수첩에 기록될 거야. \n헷갈리면 언제든 눌러서 확인해.",,angele,chamiel,
OPENING_030,Right,"오, 신기하다. 근데... 먹을 것도 적어줘요?",,angele,chamiel_relaxed,
OPENING_031,Left,그건 네 배에나 적어.,,mrA,chamiel_relaxed,
OPENING_032,Left,"일단 노트가 있던 사무실부터 봐야 확실한 게 나오겠네요. 사장님, 사무실로 안내해 주시겠어요?",,angele,ppuang,
OPENING_033,Right,"네, 네! 이쪽이에요, 얼른요!",,angele,ppuang_hurry,
OPENING_034,,"다 함께 사무소를 나서, 얼마 지나지 않아 쁘앙빵집 사장 사무실 앞에 도착한다.",bg_ppuang_office_day,,,
OPENING_035,Right,"자, 여기가 사건 현장이군. 그럼 조사를 시작할까?",,angele,mrA,
